GlobalRanking,Movie Title,ReleaseYear,Director,MPAARating
1,Star Wars,1977,George Lucas,PG
2,The Empire Strikes Back,1980,Irvin Kershner,PG
3,The Godfather,1972,Francis Ford Coppola,R
4,Raiders of the Lost Ark,1981,Steven Spielberg,PG
5,The Shawshank Redemption,1994,Frank Darabont,R
6,Pulp Fiction,1994,Quentin Tarantino,R
7,Return of the Jedi,1983,Richard Marquand,PG
8,The Godfather Part II,1974,Francis Ford Coppola,R
9,Back to the Future,1985,Robert Zemeckis,PG
10,Ikiru,1952,Akira Kurosawa,NR
11,Fight Club,1999,David Fincher,R
12,Rear Window,1954,Alfred Hitchcock,PG
13,City Lights,1931,Charles Chaplin,G
14,GoodFellas,1990,Martin Scorsese,R
15,The Dark Knight,2008,Christopher Nolan,PG13
16,Alien,1979,Ridley Scott,R
17,Casablanca,1942,Michael Curtiz,PG
18,Seven Samurai,1954,Akira Kurosawa,NR
19,The Shining,1980,Stanley Kubrick,R
20,The Silence of the Lambs,1991,Jonathan Demme,R
21,Indiana Jones and the Last Crusade,1989,Steven Spielberg,PG13
22,Reservoir Dogs,1992,Quentin Tarantino,R
23,One Flew Over the Cuckoo's Nest,1975,Milos Forman,R
24,Monty Python and the Holy Grail,1975,"Terry Gilliam, Terry Jones",PG
25,"The Good, the Bad and the Ugly",1966,Sergio Leone,NR
26,The Apartment,1960,Billy Wilder,NR
27,M,1931,Fritz Lang,NR
28,Se7en,1995,David Fincher,R
29,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,NR
30,Citizen Kane,1941,Orson Welles,NR
31,Double Indemnity,1944,Billy Wilder,NR
32,North by Northwest,1959,Alfred Hitchcock,NR
33,Die Hard,1988,John McTiernan,R
34,The Third Man,1949,Carol Reed,NR
35,Ghostbusters,1984,Ivan Reitman,PG
36,Yojimbo,1961,Akira Kurosawa,NR
37,RashÃ´mon,1950,Akira Kurosawa,NR
38,Sunrise: A Song of Two Humans,1927,F.W. Murnau,NR
39,The Matrix,1999,The Wachowskis,R
40,The Night of the Hunter,1955,Charles Laughton,NR
41,High and Low,1963,Akira Kurosawa,NR
42,Taxi Driver,1976,Martin Scorsese,R
43,Blade Runner,1982,Ridley Scott,R
44,The Princess Bride,1987,Rob Reiner,PG
45,The Wages of Fear,1953,Henri-Georges Clouzot,NR
46,Psycho,1960,Alfred Hitchcock,NR
47,Harakiri,1962,Masaki Kobayashi,NR
48,The Usual Suspects,1995,Bryan Singer,R
49,Terminator 2: Judgment Day,1991,James Cameron,R
50,12 Angry Men,1957,Sidney Lumet,NR
51,Vertigo,1958,Alfred Hitchcock,PG
52,Aliens,1986,James Cameron,R
53,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,PG13
54,Apocalypse Now,1979,Francis Ford Coppola,R
55,Paths of Glory,1957,Stanley Kubrick,NR
56,The General,1926,"Clyde Bruckman, Buster Keaton",NR
57,A Clockwork Orange,1971,Stanley Kubrick,R
58,Chinatown,1974,Roman Polanski,R
59,Schindler's List,1993,Steven Spielberg,R
60,Saving Private Ryan,1998,Steven Spielberg,R
61,Touch of Evil,1958,Orson Welles,NR
62,Jaws,1975,Steven Spielberg,PG
63,Bicycle Thieves,1948,Vittorio De Sica,NR
64,Persona,1966,Ingmar Bergman,NR
65,Ferris Bueller's Day Off,1986,John Hughes,PG13
66,The Red Shoes,1948,"Michael Powell, Emeric Pressburger",NR
67,Le samouraÃ¯,1967,Jean-Pierre Melville,PG
68,Forrest Gump,1994,Robert Zemeckis,PG13
69,The Lord of the Rings: The Return of the King,2003,Peter Jackson,PG13
70,Jurassic Park,1993,Steven Spielberg,PG13
71,The Treasure of the Sierra Madre,1948,John Huston,NR
72,The 400 Blows,1959,FranÃ§ois Truffaut,NR
73,Toy Story,1995,John Lasseter,G
74,Full Metal Jacket,1987,Stanley Kubrick,R
75,It Happened One Night,1934,Frank Capra,NR
76,The Big Lebowski,1998,Joel & Ethan Coen,R
77,Tokyo Story,1953,YasujirÃ´ Ozu,NR
78,Notorious,1946,Alfred Hitchcock,NR
79,Memento,2000,Christopher Nolan,R
80,The Terminator,1984,James Cameron,R
81,The Passion of Joan of Arc,1928,Carl Theodor Dreyer,NR
82,Modern Times,1936,Charles Chaplin,G
83,Sunset Blvd.,1950,Billy Wilder,NR
84,The Seventh Seal,1957,Ingmar Bergman,NR
85,Wild Strawberries,1957,Ingmar Bergman,NR
86,Strangers on a Train,1951,Alfred Hitchcock,PG
87,Fargo,1996,Joel & Ethan Coen,R
88,2001: A Space Odyssey,1968,Stanley Kubrick,G
89,The Lord of the Rings: The Two Towers,2002,Peter Jackson,PG13
90,8Â½,1963,Federico Fellini,NR
91,On the Waterfront,1954,Elia Kazan,NR
92,Grand Illusion,1937,Jean Renoir,NR
93,The Professional,1994,Luc Besson,R
94,Ace in the Hole,1951,Billy Wilder,NR
95,Rocky,1976,John G. Avildsen,PG
96,The Philadelphia Story,1940,George Cukor,NR
97,Indiana Jones and the Temple of Doom,1984,Steven Spielberg,PG
98,Network,1976,Sidney Lumet,R
99,Cool Hand Luke,1967,Stuart Rosenberg,NR
100,The Conversation,1974,Francis Ford Coppola,PG
101,The Rules of the Game,1939,Jean Renoir,NR
102,Raging Bull,1980,Martin Scorsese,R
103,Shadow of a Doubt,1943,Alfred Hitchcock,PG
104,Inception,2010,Christopher Nolan,PG13
105,Batman Begins,2005,Christopher Nolan,PG13
106,The Gold Rush,1925,Charles Chaplin,NR
107,The Maltese Falcon,1941,John Huston,NR
108,The Man Who Shot Liberty Valance,1962,John Ford,NR
109,The Departed,2006,Martin Scorsese,R
110,Throne of Blood,1957,Akira Kurosawa,NR
111,His Girl Friday,1940,Howard Hawks,NR
112,All About Eve,1950,Joseph L. Mankiewicz,NR
113,Badlands,1973,Terrence Malick,PG
114,La Dolce Vita,1960,Federico Fellini,NR
115,Sweet Smell of Success,1957,Alexander Mackendrick,NR
116,The Big Sleep,1946,Howard Hawks,NR
117,Groundhog Day,1993,Harold Ramis,PG
118,The Searchers,1956,John Ford,NR
119,The Great Dictator,1940,Charles Chaplin,G
120,Aguirre: The Wrath of God,1972,Werner Herzog,NR
121,Stand by Me,1986,Rob Reiner,R
122,Stalker,1979,Andrei Tarkovsky,NR
123,It's a Wonderful Life,1946,Frank Capra,NR
124,The Wizard of Oz,1939,Victor Fleming,NR
125,Good Will Hunting,1997,Gus Van Sant,R
126,Rope,1948,Alfred Hitchcock,NR
127,Butch Cassidy and the Sundance Kid,1969,George Roy Hill,PG
128,Sherlock Jr.,1924,Buster Keaton,NR
129,The Thin Man,1934,W.S. Van Dyke,NR
130,The Breakfast Club,1985,John Hughes,R
131,Out of the Past,1947,Jacques Tourneur,NR
132,Inglourious Basterds,2009,Quentin Tarantino,R
133,The Lion King,1994,"Roger Allers, Rob Minkoff",G
134,Annie Hall,1977,Woody Allen,PG
135,Duck Soup,1933,Leo McCarey,NR
136,Days of Heaven,1978,Terrence Malick,PG
137,A Fistful of Dollars,1964,Sergio Leone,R
138,Mr. Smith Goes to Washington,1939,Frank Capra,NR
139,American History X,1998,Tony Kaye,R
140,The Thing,1982,John Carpenter,R
141,My Neighbor Totoro,1988,Hayao Miyazaki,G
